FGVoltage(mV), ILD(mA), PLD(mW)
10,3.503795,-0.156366
11,3.359800,0.000636
12,3.577562,0.000683
13,3.823163,0.000737
14,4.115663,0.000789
15,4.330325,0.000846
16,4.423188,0.000903
17,4.681500,0.000956
18,4.928213,0.001017
19,5.003063,0.001074
20,5.246363,0.001140
21,5.421425,0.001194
22,5.612612,0.001261
23,5.816500,0.001330
24,6.070600,0.001393
25,6.262800,0.001466
26,6.506200,0.001530
27,6.715475,0.001604
28,6.873587,0.001676
29,7.102050,0.001749
30,7.337975,0.001830
31,7.459613,0.001905
32,7.618750,0.001985
33,7.917675,0.002067
34,8.055363,0.002152
35,8.384338,0.002233
36,8.553987,0.002318
37,8.663975,0.002405
38,8.929862,0.002496
39,9.083562,0.002593
40,9.354738,0.002686
41,9.543725,0.002788
42,9.640875,0.002883
43,9.897157,0.002988
44,10.058373,0.003092
45,10.383980,0.003203
46,10.537770,0.003320
47,10.814340,0.003426
48,10.947860,0.003544
49,11.084510,0.003666
50,11.336310,0.003794
51,11.588370,0.003918
52,11.768830,0.004042
53,11.941740,0.004172
54,12.228980,0.004306
55,12.347400,0.004452
56,12.476680,0.004594
57,12.815030,0.004738
58,12.931490,0.004888
59,13.122590,0.005044
60,13.401250,0.005217
61,13.622090,0.005377
62,13.763270,0.005545
63,13.989540,0.005724
64,14.188110,0.005914
65,14.387780,0.006100
66,14.572560,0.006291
67,14.840410,0.006495
68,14.976990,0.006706
69,15.252580,0.006919
70,15.391260,0.007141
71,15.646540,0.007368
72,15.880340,0.007611
73,16.066070,0.007863
74,16.248760,0.008120
75,16.456900,0.008383
76,16.644850,0.008663
77,16.850860,0.008959
78,17.082500,0.009254
79,17.308940,0.009581
80,17.492600,0.009932
81,17.730560,0.010252
82,17.939900,0.010624
83,18.134150,0.010980
84,18.316780,0.011360
85,18.565560,0.011793
86,18.738490,0.012201
87,18.930750,0.012647
88,19.154870,0.013150
89,19.316180,0.013664
90,19.602250,0.014196
91,19.829610,0.014800
92,20.019710,0.015358
93,20.211890,0.016011
94,20.461740,0.016671
95,20.601610,0.017389
96,20.800150,0.018230
97,21.085230,0.019011
98,21.271010,0.019997
99,21.403380,0.020969
100,21.706600,0.021923
101,21.787750,0.022528
102,22.030090,0.024269
103,22.164710,0.024973
104,22.456070,0.027073
105,22.556480,0.027925
106,22.852200,0.030672
107,22.991020,0.031627
108,23.260040,0.035364
109,23.431920,0.036713
110,23.602770,0.041569
111,23.759770,0.043589
112,24.075750,0.051080
113,24.210260,0.055034
114,24.465390,0.068081
115,24.555110,0.076461
116,24.880690,0.126455
117,25.048390,0.155921
118,25.318530,0.252530
119,25.338830,0.285995
120,25.662230,0.404300
121,25.828850,0.455163
122,26.117140,0.583342
123,26.233610,0.639920
124,26.519640,0.777655
125,26.656350,0.835897
126,26.922150,0.978653
127,26.996870,1.032043
128,27.338560,1.184350
129,27.410100,1.238300
130,27.714420,1.383800
131,27.844640,1.440800
132,28.121110,1.583600
133,28.258870,1.648350
134,28.490540,1.786150
135,28.661290,1.845550
136,28.948600,1.999800
137,29.032970,2.056300
138,29.383050,2.211800
139,29.355400,2.270150
140,29.742880,2.421150
141,29.837980,2.480550
142,30.118740,2.621600
143,30.252270,2.690450
144,30.509480,2.844300
145,30.665380,2.897050
146,30.997410,3.046450
147,31.041200,3.106700
148,31.390360,3.266400
149,31.500300,3.325800
150,31.767210,3.471700
151,31.797140,3.540400
152,32.143060,3.688650
153,32.238100,3.750050
154,32.564780,3.903000
155,32.692920,3.958250
156,32.924540,4.115150
157,33.084700,4.173750
158,33.428550,4.325250
159,33.471250,4.387300
160,33.865200,4.549700
161,33.946380,4.602450
